予約ID,顧客ID,予約日時,予約経路,予約ステータス,チェックイン日時,チェックアウト日時,部屋タイプ,滞在予定日数,宿泊料金,支払ステータス,割当部屋ID
R001,C001,2024-01-15 14:30:00,公式サイト,確定,2024-02-01 15:00:00,2024-02-03 11:00:00,シングル,2,15000,支払い済み,RM101
R002,C002,2024-01-16 10:20:00,電話,確定,2024-02-05 16:00:00,2024-02-07 11:00:00,ダブル,2,22000,未払い,RM102
R003,C003,2024-01-17 18:45:00,外部サイト,確定,2024-02-10 15:00:00,2024-02-12 11:00:00,スイート,2,45000,支払い済み,RM201
R004,C004,2024-01-18 09:15:00,公式サイト,キャンセル,2024-02-15 15:00:00,2024-02-17 11:00:00,シングル,2,15000,返金済み,RM103
R005,C005,2024-01-19 16:30:00,電話,確定,2024-02-20 15:00:00,2024-02-25 11:00:00,ダブル,5,110000,支払い済み,RM104
R006,C006,2024-01-20 13:10:00,外部サイト,確定,2024-02-22 15:00:00,2024-02-24 11:00:00,シングル,2,15000,未払い,RM105
R007,C007,2024-01-21 11:45:00,公式サイト,確定,2024-02-25 15:00:00,2024-02-28 11:00:00,スイート,3,67500,支払い済み,RM202
R008,C008,2024-01-22 15:20:00,電話,確定,2024-03-01 15:00:00,2024-03-03 11:00:00,ダブル,2,22000,未払い,RM106
R009,C009,2024-01-23 12:35:00,外部サイト,確定,2024-03-05 15:00:00,2024-03-08 11:00:00,シングル,3,45000,支払い済み,RM107
R010,C010,2024-01-24 17:50:00,公式サイト,確定,2024-03-10 15:00:00,2024-03-12 11:00:00,ダブル,2,22000,支払い済み,RM108
R011,C011,2024-01-25 08:25:00,電話,キャンセル,2024-03-15 15:00:00,2024-03-17 11:00:00,シングル,2,15000,返金済み,RM109
R012,C012,2024-01-26 14:40:00,外部サイト,確定,2024-03-18 15:00:00,2024-03-22 11:00:00,スイート,4,90000,支払い済み,RM203
R013,C013,2024-01-27 19:15:00,公式サイト,確定,2024-03-20 15:00:00,2024-03-23 11:00:00,ダブル,3,66000,未払い,RM110
R014,C014,2024-01-28 10:30:00,電話,確定,2024-03-25 15:00:00,2024-03-27 11:00:00,シングル,2,15000,支払い済み,RM111
R015,C015,2024-01-29 16:45:00,外部サイト,確定,2024-03-28 15:00:00,2024-04-01 11:00:00,ダブル,4,88000,支払い済み,RM112
R016,C016,2024-01-30 13:20:00,公式サイト,確定,2024-04-01 15:00:00,2024-04-03 11:00:00,スイート,2,45000,未払い,RM204
R017,C017,2024-02-01 11:10:00,電話,確定,2024-04-05 15:00:00,2024-04-07 11:00:00,シングル,2,15000,支払い済み,RM113
R018,C018,2024-02-02 15:55:00,外部サイト,キャンセル,2024-04-10 15:00:00,2024-04-13 11:00:00,ダブル,3,66000,返金済み,RM114
R019,C019,2024-02-03 12:40:00,公式サイト,確定,2024-04-12 15:00:00,2024-04-15 11:00:00,シングル,3,45000,支払い済み,RM115
