対応ID,従業員ID,顧客ID,対応内容,対応日時
S001,STF001,C001,チェックイン手続きのサポート,2024-02-01 15:15:00
S002,STF002,C002,部屋の設備に関する問い合わせ対応,2024-02-05 18:30:00
S003,STF003,C003,スパ施設の利用方法案内,2024-02-10 16:45:00
S004,STF001,C004,予約キャンセル手続きの対応,2024-01-20 10:30:00
S005,STF004,C005,レストランの予約案内,2024-02-22 19:15:00
S006,STF005,C006,Wi-Fi接続のトラブルシューティング,2024-02-22 20:30:00
S007,STF002,C007,ルームサービスの注文受付,2024-02-26 21:00:00
S008,STF006,C008,周辺観光地の案内,2024-03-01 16:30:00
S009,STF003,C009,チェックアウト手続きのサポート,2024-03-08 10:45:00
S010,STF007,C010,タクシーの手配依頼,2024-03-12 09:30:00
S011,STF001,C011,予約キャンセルの返金手続き,2024-01-26 14:20:00
S012,STF008,C012,客室清掃の追加依頼,2024-03-20 14:00:00
S013,STF004,C013,エアコンの温度調整依頼,2024-03-21 22:15:00
S014,STF009,C014,荷物預かりサービスの案内,2024-03-27 10:15:00
S015,STF005,C015,朝食時間の変更相談,2024-03-30 08:45:00
S016,STF010,C016,バスルームの設備不具合報告対応,2024-04-01 16:30:00
S017,STF002,C017,コンシェルジュサービスの利用案内,2024-04-05 17:00:00
S018,STF011,C018,予約キャンセルの手続き,2024-02-10 11:30:00
S019,STF006,C019,フィットネスジムの利用方法案内,2024-04-13 19:30:00
S020,STF012,C020,ビジネスセンターの利用案内,2024-04-16 10:00:00
S021,STF003,C021,レイトチェックアウトの相談,2024-04-20 09:15:00
S022,STF013,C022,ランドリーサービスの利用案内,2024-04-23 15:30:00
S023,STF007,C023,客室のテレビの操作説明,2024-04-26 20:45:00
S024,STF014,C024,予約キャンセルの対応,2024-02-15 13:45:00
S025,STF008,C025,駐車場の利用案内,2024-05-01 16:45:00
S026,STF015,C026,アレルギー対応食の相談,2024-05-06 18:00:00
S027,STF004,C027,プールサイドサービスの案内,2024-05-09 14:30:00
S028,STF016,C028,客室の照明トラブル対応,2024-05-11 21:30:00
S029,STF009,C029,チェックアウト延長の相談,2024-05-17 10:30:00
S030,STF017,C030,会議室の予約案内,2024-05-19 13:00:00
S031,STF001,C031,予約キャンセルの返金対応,2024-02-18 16:15:00
S032,STF018,C032,客室のミニバー利用案内,2024-05-26 19:45:00
S033,STF010,C033,空港送迎サービスの手配,2024-05-29 08:30:00
S034,STF019,C034,客室のセーフティボックス操作説明,2024-06-02 17:15:00
S035,STF005,C035,マッサージサービスの予約,2024-06-06 20:00:00
S036,STF020,C036,バンケットホールの見学案内,2024-06-09 15:45:00
S037,STF011,C037,客室の換気扇清掃依頼,2024-06-12 16:30:00
S038,STF021,C038,予約キャンセルの手続き,2024-02-25 12:00:00
S039,STF012,C039,ベビーベッドの設置依頼,2024-06-19 14:15:00
S040,STF022,C040,客室のカーテン修理依頼,2024-06-22 11:45:00
S041,STF006,C041,ビジネスラウンジの利用案内,2024-06-26 18:30:00
S042,STF023,C042,ペットホテルサービスの相談,2024-06-30 10:00:00
